Date;Valor;Ativo
15/05/2018;7,15;KLBN3SA
16/05/2018;7,15;KLBN3SA
17/05/2018;6,9;KLBN3SA
18/05/2018;6,65;KLBN3SA
21/05/2018;6,26;KLBN3SA
22/05/2018;6,34;KLBN3SA
23/05/2018;6,29;KLBN3SA
24/05/2018;6,34;KLBN3SA
25/05/2018;6,31;KLBN3SA
28/05/2018;6,55;KLBN3SA
29/05/2018;6,39;KLBN3SA
30/05/2018;6,4;KLBN3SA
01/06/2018;6,47;KLBN3SA
04/06/2018;6,56;KLBN3SA
05/06/2018;6,81;KLBN3SA
06/06/2018;7,08;KLBN3SA
07/06/2018;6,81;KLBN3SA
08/06/2018;6,81;KLBN3SA
11/06/2018;6,4;KLBN3SA
12/06/2018;6,59;KLBN3SA
13/06/2018;6,66;KLBN3SA
14/06/2018;6,48;KLBN3SA
15/06/2018;6,51;KLBN3SA
18/06/2018;6,58;KLBN3SA
19/06/2018;6,15;KLBN3SA
20/06/2018;6,05;KLBN3SA
21/06/2018;6,2;KLBN3SA
22/06/2018;5,79;KLBN3SA
25/06/2018;6,13;KLBN3SA
26/06/2018;6,01;KLBN3SA
27/06/2018;6,34;KLBN3SA
28/06/2018;6,01;KLBN3SA
29/06/2018;6,03;KLBN3SA
02/07/2018;6,03;KLBN3SA
03/07/2018;6,02;KLBN3SA
04/07/2018;6,1;KLBN3SA
05/07/2018;5,96;KLBN3SA
06/07/2018;6,12;KLBN3SA
10/07/2018;5,92;KLBN3SA
11/07/2018;5,88;KLBN3SA
12/07/2018;5,66;KLBN3SA
13/07/2018;5,75;KLBN3SA
16/07/2018;5,76;KLBN3SA
17/07/2018;6,06;KLBN3SA
18/07/2018;5,83;KLBN3SA
19/07/2018;6,05;KLBN3SA
20/07/2018;6,1;KLBN3SA
23/07/2018;6,12;KLBN3SA
24/07/2018;6,01;KLBN3SA
25/07/2018;6,07;KLBN3SA
26/07/2018;5,92;KLBN3SA
27/07/2018;6,08;KLBN3SA
30/07/2018;5,96;KLBN3SA
31/07/2018;6,06;KLBN3SA
01/08/2018;6,09;KLBN3SA
02/08/2018;5,87;KLBN3SA
03/08/2018;5,8;KLBN3SA
06/08/2018;5,99;KLBN3SA
07/08/2018;5,99;KLBN3SA
08/08/2018;5,74;KLBN3SA
09/08/2018;5,74;KLBN3SA
10/08/2018;5,74;KLBN3SA
13/08/2018;5,78;KLBN3SA
14/08/2018;5,77;KLBN3SA
15/08/2018;5,77;KLBN3SA
16/08/2018;5,78;KLBN3SA
17/08/2018;5,78;KLBN3SA
20/08/2018;5,92;KLBN3SA
21/08/2018;5,89;KLBN3SA
22/08/2018;6,08;KLBN3SA
23/08/2018;6,53;KLBN3SA
24/08/2018;6,81;KLBN3SA
27/08/2018;7,4;KLBN3SA
28/08/2018;7,7;KLBN3SA
29/08/2018;7,4;KLBN3SA
30/08/2018;7,19;KLBN3SA
31/08/2018;6,94;KLBN3SA
03/09/2018;7,42;KLBN3SA
04/09/2018;7,28;KLBN3SA
05/09/2018;7,24;KLBN3SA
06/09/2018;7,1;KLBN3SA
10/09/2018;7,1;KLBN3SA
11/09/2018;7,1;KLBN3SA
12/09/2018;7,01;KLBN3SA
